iter	Passed	Remaining
132	5303	14633
133	5340	14588
134	5383	14555
135	5423	14515
136	5464	14478
137	5504	14440
138	5545	14401
139	5586	14366
140	5627	14327
141	5667	14288
142	5708	14252
143	5750	14216
144	5792	14182
145	5836	14151
146	5877	14114
147	5918	14075
148	5959	14039
149	6000	14001
150	6039	13958
151	6078	13916
152	6118	13875
153	6156	13832
154	6196	13791
155	6235	13750
156	6277	13715
157	6318	13676
158	6358	13637
159	6398	13596
160	6436	13553
161	6477	13514
162	6516	13473
163	6557	13435
164	6600	13400
165	6643	13367
166	6684	13328
167	6729	13297
168	6768	13257
169	6807	13215
170	6848	13176
171	6887	13134
172	6926	13093
173	6965	13050
174	7004	13008
175	7042	12964
176	7079	12919
177	7121	12883
178	7162	12845
179	7202	12804
180	7240	12761
181	7279	12719
182	7319	12678
183	7359	12638
184	7397	12596
185	7437	12555
186	7475	12512
187	7513	12469
188	7551	12426
189	7593	12389
190	7633	12349
191	7671	12305
192	7709	12263
193	7749	12223
194	7787	12180
195	7825	12137
196	7864	12096
197	7902	12053
198	7941	12011
199	7978	11968
200	8019	11929
201	8056	11886
202	8094	11842
203	8133	11801
204	8170	11758
205	8209	11716
206	8248	11674
207	8286	11632
208	8324	11589
209	8362	11548
210	8400	11505
211	8438	11463
212	8477	11422
213	8515	11380
214	8553	11338
215	8591	11296
216	8629	11254
217	8668	11213
218	8706	11170
219	8745	11131
220	8785	11090
221	8822	11048
222	8865	11012
223	8902	10969
224	8945	10932
225	8988	10897
226	9025	10855
227	9063	10813
228	9102	10772
229	9141	10730
230	9181	10691
231	9219	10649
232	9259	10610
233	9299	10571
234	9337	10530
235	9377	10490
236	9416	10449
237	9455	10409
238	9495	10369
239	9535	10330
240	9572	10287
241	9609	10245
242	9649	10205
243	9687	10164
244	9728	10125
245	9765	10083
246	9804	10042
247	9843	10002
248	9881	9960
249	9919	9919
250	9958	9879
251	10000	9841
252	10040	9802
253	10079	9761
254	10119	9722
255	10157	9680
256	10195	9639
257	10232	9598
258	10272	9559
259	10314	9521
260	10353	9480
261	10391	9439
262	10429	9398
263	10468	9357
264	10506	9317
265	10547	9279
266	10586	9238
267	10624	9197
268	10663	9156
269	10700	9115
270	10739	9074
271	10777	9034
272	10816	8994
273	10854	8953
274	10892	8912
275	10933	8873
276	10975	8835
277	11013	8794
278	11050	8753
279	11090	8713
280	11128	8672
281	11166	8632
282	11205	8592
283	11243	8551
284	11282	8511
285	11328	8476
286	11370	8438
287	11408	8398
288	11446	8357
289	11484	8316
290	11523	8276
291	11561	8235
292	11598	8194
293	11636	8153
294	11675	8113
295	11713	8072
296	11753	8033
297	11795	7995
298	11837	7957
299	11875	7916
300	11913	7876
301	11954	7837
302	11992	7796
303	12029	7755
304	12069	7716
305	12108	7676
306	12149	7638
307	12189	7598
308	12226	7557
309	12266	7518
310	12303	7477
311	12342	7437
312	12380	7396
313	12420	7357
314	12458	7316
315	12496	7276
316	12536	7237
317	12577	7198
318	12618	7159
319	12655	7118
320	12694	7078
321	12733	7038
322	12771	6998
323	12811	6959
324	12851	6919
325	12889	6879
326	12928	6839
327	12966	6799
328	13007	6760
329	13050	6723
330	13089	6683
331	13130	6644
332	13171	6605
333	13212	6566
334	13253	6527
335	13294	6488
336	13341	6453
337	13381	6413
338	13422	6374
339	13466	6337
340	13507	6298
341	13548	6259
342	13595	6222
343	13635	6183
344	13675	6144
345	13714	6104
346	13757	6066
347	13801	6028
348	13849	5992
349	13894	5954
350	13939	5917
351	13982	5879
352	14024	5840
353	14064	5800
354	14103	5760
355	14145	5721
356	14185	5682
357	14225	5642
358	14267	5603
359	14307	5564
360	14351	5525
361	14392	5486
362	14434	5447
363	14475	5408
364	14515	5368
365	14554	5328
366	14594	5289
367	14637	5250
368	14677	5210
369	14719	5171
370	14760	5132
371	14804	5093
372	14843	5053
373	14886	5015
374	14926	4975
375	14967	4936
376	15006	4896
377	15048	4856
378	15088	4817
379	15128	4777
380	15168	4737
381	15209	4698
382	15251	4659
383	15294	4620
384	15334	4580
385	15373	4540
386	15414	4500
387	15453	4460
388	15492	4420
389	15531	4380
390	15570	4340
391	15613	4301
392	15655	4262
393	15697	4223
394	15737	4183
395	15778	4143
396	15817	4103
397	15856	4063
398	15896	4023
399	15937	3984
400	15976	3944
